City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yulara,AU,-25.2406,130.9889,76.41,41,92,9.48,overcast clouds
1,Hasaki,JP,35.7333,140.8333,86.29,68,55,24.36,broken clouds
2,Butaritari,KI,3.0707,172.7902,82.09,71,49,14.29,scattered clouds
3,Punta Arenas,CL,-53.15,-70.9167,42.91,81,75,6.91,broken clouds
4,Busselton,AU,-33.65,115.3333,63.01,60,0,13.65,clear sky
5,Butembo,CD,0.15,29.2833,58.96,92,100,1.81,overcast clouds
6,Lorengau,PG,-2.0226,147.2712,86.05,68,63,11.32,broken clouds
7,Tuy Hoa,VN,13.0833,109.3,78.73,90,100,7.0,overcast clouds
8,Chui,UY,-33.6971,-53.4616,53.96,64,90,7.76,overcast clouds
9,Fort Nelson,CA,58.8053,-122.7002,40.59,75,20,0.0,few clouds
10,Korla,CN,41.7597,86.1469,58.48,18,100,7.72,overcast clouds
11,Lagoa,PT,39.05,-27.9833,68.43,79,98,6.91,overcast clouds
12,Port Alfred,ZA,-33.5906,26.891,57.18,86,69,3.0,broken clouds
13,Saint-Philippe,RE,-21.3585,55.7679,76.59,77,39,13.94,scattered clouds
14,Macusani,PE,-14.0833,-70.4333,35.4,96,95,3.67,overcast clouds
15,Rikitea,PF,-23.1203,-134.9692,71.44,68,47,23.33,scattered clouds
16,Hithadhoo,MV,-0.6,73.0833,82.44,69,93,16.02,overcast clouds
17,Qaanaaq,GL,77.484,-69.3632,17.08,74,100,5.84,overcast clouds
18,Lawigan,PH,10.487,122.0354,86.72,68,72,3.0,broken clouds
19,Hofn,IS,64.2539,-15.2082,47.01,86,100,20.54,overcast clouds
20,Phuket,TH,8.0,98.25,86.22,74,40,9.22,scattered clouds
21,Puerto Ayora,EC,-0.7393,-90.3518,64.54,98,41,4.0,scattered clouds
22,Ahipara,NZ,-35.1667,173.1667,58.66,80,76,13.44,broken clouds
23,Kruisfontein,ZA,-34.0033,24.7314,56.88,76,50,8.34,scattered clouds
24,Krasnogorsk,RU,55.8225,37.3181,50.25,81,75,15.66,broken clouds
25,Salalah,OM,17.0151,54.0924,78.89,78,75,2.3,broken clouds
26,Kandrian,PG,-6.2167,149.55,86.11,68,93,12.55,overcast clouds
27,Mahébourg,MU,-20.4081,57.7,75.25,73,40,12.66,scattered clouds
28,Upernavik,GL,72.7868,-56.1549,21.51,76,100,5.32,overcast clouds
29,Rundu,NA,-17.9333,19.7667,66.18,17,0,5.01,clear sky
30,Lompoc,US,34.6391,-120.4579,61.02,91,0,9.22,clear sky
31,Douglas,US,41.3,-96.167,66.31,59,0,5.75,clear sky
32,Dingle,IE,52.1408,-10.2689,59.4,95,100,6.38,overcast clouds
33,Atuona,PF,-9.8,-139.0333,76.91,73,45,19.15,scattered clouds
34,Bethel,US,41.3712,-73.414,50.09,72,100,6.91,overcast clouds
35,Jamestown,SH,-15.9387,-5.7168,61.57,82,59,23.78,broken clouds
36,Ilulissat,GL,69.2167,-51.1,32.02,69,100,10.36,overcast clouds
37,Vigrestad,NO,58.5667,5.7,54.59,88,100,18.03,light rain
38,Carnarvon,AU,-24.8667,113.6333,75.56,38,0,10.98,clear sky
39,Bonnyville,CA,54.2668,-110.735,53.4,47,63,4.83,broken clouds
40,Thompson,CA,55.7435,-97.8558,30.36,86,20,2.3,few clouds
41,Fortuna,US,40.5982,-124.1573,58.66,81,41,2.98,scattered clouds
42,Acapulco de Juárez,MX,16.8634,-99.8901,78.44,82,51,5.68,broken clouds
43,Mezen',RU,65.8522,44.24,38.19,86,100,8.95,overcast clouds
44,Bluff,NZ,-46.6,168.3333,43.9,82,100,18.16,overcast clouds
45,Ushuaia,AR,-54.8,-68.3,40.66,75,0,1.14,clear sky
46,San Juan,US,26.1892,-98.1553,77.11,66,0,8.05,haze
47,Arraial do Cabo,BR,-22.9661,-42.0278,67.59,85,100,1.72,overcast clouds
48,Acaraú,BR,-2.8856,-40.12,77.4,80,93,15.61,overcast clouds
49,Sungai Petani,MY,5.647,100.4877,85.93,66,95,2.82,overcast clouds
50,Komsomol'skiy,RU,43.9783,46.6985,69.76,66,73,13.33,broken clouds
51,Kaeo,NZ,-35.1,173.7833,65.32,71,70,5.61,broken clouds
52,Longyearbyen,SJ,78.2186,15.6401,33.64,93,75,8.05,broken clouds
53,Hobart,AU,-42.8794,147.3294,55.26,54,20,19.57,few clouds
